asset_source,assets_with_matches,flagged_assets,critical_assets,high_assets,moderate_assets,low_assets,insufficient_data_assets,avg_pct_low_performance,median_observation_count,flag_rate_pct
city_streetlight,12321,4916,3203,1713,1531,5778,96,28.49,104.0,39.9
traffic_roadway_light,248,128,66,62,33,85,2,35.29,118.5,51.61
